,SEASON,Player,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
10,2022,Malik Fitts,PF,24,BOS,9,0.0,1.8,0.3,0.4,0.75,0.2,0.2,1.0,0.1,0.2,0.5,1.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,8.3,1.5,13.6,0.0,0.5,0.0,16.0,6.9,0.0,0.1,20.2,0.0,0.0,7.0,1.0,11.3,0.0,0.1,0.201
11,2022,Dorian Finney-Smith,PF,28,DAL,18,18.0,38.2,4.1,8.7,0.471,2.6,6.0,0.426,1.6,2.7,0.571,0.618,0.9,1.3,0.708,1.8,3.7,5.5,1.9,0.9,0.4,1.0,2.9,11.7,7.8,0.9,1.0,0.5,11.6,0.3,0.688,0.153,688.0,0.5,5.4,1.2,12.6,1.3,9.7,8.5,0.63,12.8,0.5,1.5,0.106
12,2022,Joel Embiid,C,27,PHI,10,10.0,38.5,7.8,16.1,0.484,0.7,3.3,0.212,7.1,12.8,0.555,0.506,7.3,8.9,0.82,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,9.9,1.9,0.1,-1.0,26.2,0.4,0.205,0.553,385.0,1.1,7.0,0.5,19.1,0.5,13.8,17.0,0.59,28.4,0.2,0.9,0.117
13,2022,Anthony Edwards,SG,20,MIN,6,6.0,37.8,8.3,18.3,0.455,3.8,9.5,0.404,4.5,8.8,0.509,0.559,4.7,5.7,0.824,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2,14.8,2.6,3.5,0.2,9.8,0.2,0.518,0.309,227.0,3.2,2.1,0.3,17.8,1.4,10.7,6.1,0.604,26.4,0.3,0.5,0.102
14,2022,Jae Crowder,PF,31,PHO,13,13.0,29.5,3.2,8.1,0.4,1.5,4.8,0.302,1.8,3.2,0.548,0.49,1.5,2.0,0.731,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,10.8,1.8,-0.9,1.4,16.0,0.2,0.6,0.248,383.0,-2.2,2.6,0.0,9.8,1.8,14.0,9.5,0.524,16.3,0.1,0.2,0.029
15,2022,Kevin Durant,PF,33,BRK,4,4.0,44.0,8.0,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,22.3,0.5,-2.9,-3.3,15.7,-0.1,0.253,0.458,176.0,0.4,1.5,0.0,13.6,1.2,17.4,8.5,0.526,31.5,0.0,-0.1,-0.026
16,2022,Andre Drummond,C,28,BRK,4,4.0,15.0,1.5,2.8,0.545,0.0,0.0,,1.5,2.8,0.545,0.545,0.8,1.3,0.6,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8,7.0,4.8,-3.2,1.7,19.7,0.1,0.0,0.455,60.0,-4.9,6.5,-0.1,10.0,4.3,31.3,13.1,0.568,14.7,0.0,0.0,-0.012
17,2022,Goran Dragic,PG,35,BRK,4,0.0,19.8,4.5,8.0,0.563,1.0,3.0,0.333,3.5,5.0,0.7,0.625,0.5,0.5,1.0,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,12.9,0.0,1.1,-0.1,20.0,0.0,0.375,0.063,79.0,1.1,9.9,0.2,19.3,1.9,13.2,14.9,0.639,22.0,0.1,0.2,0.106
18,2022,Ayo Dosunmu,SG,22,CHI,5,1.0,17.2,1.6,5.2,0.308,0.6,2.6,0.231,1.0,2.6,0.385,0.365,0.2,0.2,1.0,0.8,1.8,2.6,2.2,0.2,0.0,0.6,1.0,4.0,19.2,0.0,-5.3,-1.4,11.4,0.1,0.5,0.038,86.0,-3.9,4.3,-0.1,6.0,0.6,10.2,7.6,0.378,15.0,-0.1,-0.1,-0.029
19,2022,Luka Doncic,PG,22,DAL,15,15.0,36.8,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9.0,0.77,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,37.3,1.5,9.3,2.5,29.7,0.8,0.42,0.384,552.0,6.8,2.1,1.1,28.6,2.5,12.5,15.7,0.577,40.4,1.6,1.9,0.164
20,2022,Spencer Dinwiddie,SG,28,DAL,18,3.0,27.8,4.4,10.7,0.417,2.2,5.3,0.417,2.2,5.3,0.417,0.521,3.1,3.7,0.821,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2,21.8,1.1,1.4,-0.5,8.6,0.2,0.5,0.349,501.0,1.8,1.9,0.8,16.6,1.6,11.6,5.2,0.576,23.7,0.4,1.1,0.101
21,2022,Gorgui Dieng,C,32,ATL,2,0.0,5.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-1.3,-3.2,24.6,0.0,0.5,0.5,10.0,1.9,11.9,0.0,15.4,0.0,0.0,18.1,0.615,11.2,0.0,0.0,0.149
22,2022,DeMar DeRozan,PF,32,CHI,5,5.0,40.6,7.8,19.0,0.411,0.0,1.8,0.0,7.8,17.2,0.453,0.411,5.2,6.0,0.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,20.9,1.0,-0.8,0.5,14.0,0.3,0.095,0.316,203.0,-1.3,0.5,-0.2,13.4,2.1,9.2,6.7,0.481,25.7,0.1,0.1,0.019
23,2022,Dewayne Dedmon,C,32,MIA,14,0.0,9.9,1.5,3.2,0.467,0.1,0.7,0.1,1.4,2.5,0.571,0.478,0.7,0.9,0.833,1.1,1.9,3.0,0.4,0.1,0.2,0.5,2.6,3.8,5.7,2.4,-6.2,-0.4,23.9,0.2,0.222,0.267,138.0,-5.8,12.4,0.1,11.2,0.4,12.2,17.9,0.527,18.5,-0.1,0.3,0.104
24,2022,Stephen Curry,PG,33,GSW,22,18.0,34.7,9.2,20.0,0.459,4.1,10.4,0.397,5.0,9.6,0.526,0.563,4.9,5.9,0.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,28.3,1.1,7.7,1.1,14.9,0.9,0.52,0.293,764.0,6.7,1.7,2.4,24.4,1.9,10.3,8.4,0.606,31.8,1.9,3.2,0.203
25,2022,Seth Curry,SG,31,BRK,4,4.0,33.0,5.5,9.8,0.564,3.0,5.8,0.522,2.5,4.0,0.625,0.718,0.5,0.8,0.667,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,14.0,2.2,3.0,-1.0,8.0,-0.1,0.59,0.077,132.0,4.0,2.0,0.4,16.4,0.4,6.9,4.9,0.719,15.1,0.2,0.3,0.12
26,2022,JaMychal Green,PF,31,DEN,5,0.0,13.8,1.2,3.2,0.375,0.2,1.0,0.2,1.0,2.2,0.455,0.406,1.4,1.4,1.0,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0,3.9,1.5,-7.1,-2.7,16.7,0.0,0.313,0.438,69.0,-4.4,5.2,0.1,6.7,0.0,9.5,10.8,0.524,13.3,-0.1,0.0,0.012
27,2022,Javonte Green,SF,28,CHI,5,1.0,14.4,0.6,3.4,0.176,0.0,1.2,0.0,0.6,2.2,0.273,0.176,0.2,0.4,0.5,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.6,1.4,3.9,0.0,-6.3,1.5,10.6,0.2,0.353,0.118,72.0,-7.8,10.3,-0.3,4.1,6.0,18.3,10.4,0.196,13.3,-0.1,-0.1,-0.075
28,2022,Jeff Green,PF,35,DEN,5,5.0,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.6,1.8,0.333,0.441,0.8,1.0,0.8,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,2.3,1.9,-3.3,-1.9,12.4,0.0,0.471,0.294,113.0,-1.4,7.4,0.1,7.6,1.3,9.4,9.9,0.495,8.2,0.0,0.0,0.012
29,2022,Josh Green,SG,21,DAL,16,0.0,7.6,0.5,1.8,0.286,0.3,1.4,0.227,0.2,0.4,0.5,0.375,0.1,0.5,0.25,0.1,0.7,0.8,0.4,0.3,0.0,0.0,1.0,1.4,8.4,0.0,-5.0,0.3,10.9,0.1,0.786,0.286,121.0,-5.3,1.0,-0.1,4.0,2.1,0.0,5.8,0.365,12.3,-0.1,-0.1,-0.021
30,2022,Isaiah Joe,SG,22,PHI,7,0.0,2.1,0.3,0.7,0.4,0.1,0.4,0.333,0.1,0.3,0.5,0.5,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.4,0.1,0.7,0.0,0.0,-15.0,-4.6,15.6,0.0,0.6,0.0,15.0,-10.4,0.0,-0.1,-4.6,0.0,37.5,8.2,0.5,25.1,0.0,-0.1,-0.289
31,2022,Jaren Jackson Jr.,PF,22,MEM,12,12.0,27.7,4.9,13.0,0.378,2.3,6.0,0.375,2.7,7.0,0.381,0.465,3.3,4.4,0.755,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4,5.1,8.9,0.7,1.2,18.5,0.6,0.462,0.34,332.0,-0.4,7.8,0.2,15.9,1.3,8.7,12.9,0.516,24.2,0.2,0.8,0.111
32,2022,Kyrie Irving,PG,29,BRK,4,4.0,42.5,7.0,15.8,0.444,2.0,5.3,0.381,5.0,10.5,0.476,0.508,5.3,5.3,1.0,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,18.9,2.8,2.8,-0.7,11.6,0.0,0.333,0.333,170.0,3.4,4.6,0.4,19.2,2.1,11.1,8.1,0.588,21.9,0.2,0.4,0.115
33,2022,Brandon Ingram,SF,24,NOP,6,6.0,39.3,9.3,19.7,0.475,1.8,4.5,0.407,7.5,15.2,0.495,0.521,6.5,7.8,0.83,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0,27.3,0.7,3.9,-0.5,17.7,0.0,0.229,0.398,236.0,4.5,1.9,0.6,21.3,0.9,14.2,9.3,0.584,29.5,0.4,0.6,0.12
34,2022,Andre Iguodala,SF,38,GSW,7,0.0,8.7,0.6,1.3,0.444,0.1,0.4,0.333,0.4,0.9,0.5,0.5,0.3,0.4,0.667,0.4,0.6,1.0,1.7,0.0,0.3,0.6,1.6,1.6,24.7,3.3,-2.2,0.5,7.2,0.0,0.333,0.333,61.0,-2.7,5.7,0.1,8.0,0.0,27.9,6.4,0.533,10.3,0.0,0.1,0.077
35,2022,Serge Ibaka,C,32,MIL,6,0.0,3.7,0.7,2.7,0.25,0.0,0.5,0.0,0.7,2.2,0.308,0.25,0.2,0.3,0.5,0.3,1.3,1.7,0.0,0.0,0.0,0.3,0.2,1.5,0.0,0.0,-21.1,-7.7,36.0,0.0,0.188,0.125,22.0,-13.3,9.7,-0.2,-3.9,0.0,10.6,23.3,0.267,37.2,-0.1,-0.2,-0.355
36,2022,Bones Hyland,SG,21,DEN,5,0.0,17.4,2.6,7.2,0.361,1.6,4.6,0.348,1.0,2.6,0.385,0.472,2.4,2.8,0.857,0.2,1.8,2.0,3.2,0.2,0.0,1.2,2.4,9.2,27.4,0.0,-1.1,-2.1,13.2,-0.1,0.639,0.389,87.0,0.9,1.4,0.2,13.6,0.6,12.5,7.1,0.546,24.1,0.0,0.1,0.058
37,2022,De'Andre Hunter,SF,24,ATL,5,5.0,35.0,7.8,14.0,0.557,2.4,5.2,0.462,5.4,8.8,0.614,0.643,3.2,4.0,0.8,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2,3.5,0.6,2.9,0.8,12.0,0.1,0.371,0.286,175.0,2.1,1.4,0.3,16.8,1.2,12.2,6.6,0.673,23.6,0.2,0.4,0.108
38,2022,Kevin Huerter,SF,23,ATL,5,5.0,30.8,3.4,9.4,0.362,1.8,6.2,0.29,1.6,3.2,0.5,0.457,0.6,0.8,0.75,0.2,2.8,3.0,3.8,1.2,0.6,2.2,3.0,9.2,20.3,2.0,-0.8,1.1,11.2,0.1,0.66,0.085,154.0,-1.9,0.8,-0.2,7.7,2.0,18.4,5.9,0.472,17.9,0.0,-0.1,-0.017
39,2022,Danuel House Jr.,SF,28,UTA,6,0.0,18.7,1.5,3.7,0.409,0.3,1.7,0.2,1.2,2.0,0.583,0.455,1.0,1.3,0.75,0.3,2.5,2.8,0.7,0.0,0.2,1.0,1.2,4.3,5.5,1.1,-3.4,-0.7,15.5,0.0,0.455,0.364,112.0,-2.7,2.1,-0.1,5.2,0.0,19.0,8.8,0.509,13.2,0.0,-0.1,-0.027
40,2022,Al Horford,C,35,BOS,23,23.0,35.4,4.4,8.4,0.523,2.0,4.3,0.48,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,14.6,3.5,6.0,3.8,23.9,1.5,0.508,0.187,815.0,2.2,5.0,1.7,16.6,1.2,12.2,14.8,0.663,13.1,1.7,3.2,0.187
41,2022,Jrue Holiday,PG,31,MIL,12,12.0,38.6,7.4,19.6,0.379,2.1,6.6,0.316,5.3,13.0,0.41,0.432,2.2,2.6,0.839,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,27.6,1.5,1.6,0.7,11.8,1.0,0.336,0.132,463.0,0.9,2.8,-0.4,13.8,2.2,12.0,7.4,0.461,26.4,0.4,0.6,0.058
42,2022,Aaron Holiday,PG,25,PHO,6,0.0,3.3,1.3,2.3,0.571,0.8,1.2,0.714,0.5,1.2,0.429,0.75,0.0,0.2,0.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0,0.2,3.5,98.4,4.9,49.5,14.2,0.0,0.0,0.5,0.071,20.0,35.3,18.4,0.3,63.8,7.7,0.0,8.9,0.727,33.2,0.3,0.3,0.819
43,2022,George Hill,PG,35,MIL,5,0.0,15.2,0.2,1.0,0.2,0.2,0.4,0.5,0.0,0.6,0.0,0.3,0.4,0.4,1.0,0.2,1.0,1.2,0.6,0.0,0.0,0.2,2.0,1.0,5.0,0.0,-8.0,-0.7,6.5,0.1,0.4,0.4,76.0,-7.3,1.4,0.0,0.5,0.0,14.5,4.0,0.425,3.9,-0.1,0.1,0.056
44,2022,Haywood Highsmith,SF,25,MIA,8,0.0,3.9,0.4,0.9,0.429,0.4,0.6,0.6,0.0,0.3,0.0,0.643,0.0,0.0,,0.3,0.4,0.6,0.4,0.0,0.0,0.4,0.3,1.1,13.9,0.0,0.4,0.6,11.8,0.0,0.714,0.0,31.0,-0.2,7.3,0.0,8.3,0.0,30.0,9.5,0.643,14.4,0.0,0.0,0.044
45,2022,Tyler Herro,SG,22,MIA,15,0.0,25.4,4.9,12.1,0.409,1.1,4.7,0.229,3.9,7.4,0.523,0.453,1.7,1.8,0.926,0.5,3.4,3.9,2.8,0.6,0.4,1.8,1.4,12.6,18.5,1.7,-1.0,-0.5,16.3,0.5,0.387,0.149,381.0,-0.5,2.1,-0.3,12.6,1.2,12.3,9.0,0.49,25.7,0.1,0.2,0.03
46,2022,Willy Hernangomez,C,27,NOP,1,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-47.7,-34.4,0.0,0.0,0.25,0.0,2.0,-13.3,100.0,0.0,13.0,0.0,0.0,59.0,0.25,86.1,0.0,0.0,-0.383
47,2022,Juancho Hernangomez,PF,26,UTA,6,0.0,9.3,0.8,3.0,0.278,0.7,2.0,0.333,0.2,1.0,0.167,0.389,0.0,0.0,,0.3,1.7,2.0,0.8,0.3,0.0,0.3,0.7,2.3,14.0,0.0,0.4,0.9,20.7,0.0,0.667,0.0,56.0,-0.5,4.2,-0.1,7.3,1.9,10.0,12.5,0.389,16.7,0.0,0.0,-0.026
48,2022,Jaxson Hayes,C,21,NOP,6,6.0,13.8,2.3,4.2,0.56,0.0,0.5,0.0,2.3,3.7,0.636,0.56,1.2,1.8,0.636,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8,1.9,2.1,-4.9,-1.9,16.7,0.0,0.12,0.44,83.0,-3.0,5.3,0.1,11.9,0.0,11.8,10.7,0.586,17.5,-0.1,0.1,0.044
49,2022,Sam Hauser,SF,24,BOS,7,0.0,2.1,0.1,0.6,0.25,0.1,0.4,0.333,0.0,0.1,0.0,0.375,0.3,0.3,1.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,19.1,0.0,1.9,0.4,7.3,0.0,0.75,0.5,15.0,1.5,0.0,0.0,11.4,0.0,0.0,3.8,0.512,14.6,0.0,0.0,0.135
50,2022,Tobias Harris,PF,29,PHI,12,12.0,38.8,6.8,13.5,0.5,1.8,4.8,0.386,4.9,8.8,0.562,0.568,1.6,1.8,0.864,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9,13.0,2.0,3.0,1.4,20.4,0.5,0.352,0.136,466.0,1.6,2.8,0.7,16.2,1.5,9.5,12.0,0.591,19.1,0.6,1.2,0.122
51,2022,James Harden,PG,32,PHI,12,12.0,39.9,5.3,13.2,0.405,2.3,6.3,0.368,3.0,6.8,0.439,0.494,5.6,6.3,0.893,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,34.8,1.5,1.9,-0.6,13.9,0.4,0.481,0.475,479.0,2.5,3.0,0.7,16.8,1.0,20.7,8.7,0.584,23.7,0.5,1.1,0.112
52,2022,Blake Griffin,C,32,BRK,2,0.0,12.5,1.0,3.5,0.286,1.0,2.5,0.4,0.0,1.0,0.0,0.429,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,21.7,3.9,3.9,1.0,10.5,0.0,0.714,0.286,25.0,2.9,10.4,0.1,15.5,2.0,11.3,10.4,0.508,16.3,0.0,0.1,0.099
53,2022,Jarrett Culver,SG,22,MEM,3,0.0,7.3,1.0,3.3,0.3,0.0,0.7,0.0,1.0,2.7,0.375,0.3,0.3,0.7,0.5,0.7,1.7,2.3,0.3,0.7,0.0,0.7,1.3,2.3,6.6,0.0,-11.5,0.8,25.4,0.0,0.2,0.2,22.0,-12.4,9.1,-0.1,3.6,4.3,15.5,16.8,0.322,24.0,-0.1,-0.1,-0.111
54,2022,Torrey Craig,SF,31,PHO,9,0.0,7.7,0.9,2.4,0.364,0.3,1.1,0.3,0.6,1.3,0.417,0.432,0.1,0.2,0.5,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,9.8,2.8,0.3,1.4,16.7,0.1,0.455,0.091,69.0,-1.2,8.9,-0.1,10.7,3.0,14.9,12.9,0.437,17.9,0.0,0.0,0.0
55,2022,Jalen Johnson,PF,20,ATL,2,0.0,4.5,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-25.2,-8.3,0.0,0.0,0.333,0.0,9.0,-17.0,0.0,-0.1,-20.1,0.0,25.0,0.0,0.0,20.5,-0.1,-0.1,-0.545
56,2022,Dalano Banton,PG,22,TOR,4,0.0,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.8,1.5,0.5,0.5,0.0,0.5,0.3,0.3,0.0,0.3,0.0,1.8,23.4,0.0,21.4,4.6,0.0,0.0,0.0,3.0,8.0,16.8,28.1,0.1,46.9,6.6,17.7,15.4,0.754,32.7,0.0,0.1,0.373
57,2022,Bojan Bogdanovic,PF,32,UTA,6,6.0,35.7,6.5,13.5,0.481,1.8,5.5,0.333,4.7,8.0,0.583,0.549,3.2,4.0,0.792,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0,8.5,0.0,-0.5,-0.7,11.9,0.0,0.407,0.296,214.0,0.2,1.6,0.2,13.1,0.5,11.6,6.8,0.59,22.7,0.1,0.3,0.057
58,2022,Bogdan Bogdanovic,SG,29,ATL,4,0.0,26.8,5.0,12.3,0.408,2.3,6.5,0.346,2.8,5.8,0.478,0.5,2.0,2.5,0.8,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3,21.2,1.0,1.1,-0.5,17.3,0.0,0.531,0.204,107.0,1.6,4.4,0.2,15.6,0.5,7.0,10.7,0.534,24.7,0.1,0.2,0.09
59,2022,Nemanja Bjelica,C,33,GSW,15,0.0,10.0,1.2,2.3,0.529,0.2,0.5,0.375,1.0,1.7,0.577,0.574,0.3,0.5,0.571,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,15.3,1.3,-1.5,1.1,18.2,0.2,0.235,0.206,150.0,-2.6,4.6,0.2,11.4,1.3,15.9,11.6,0.58,12.9,0.0,0.3,0.107
60,2022,Bismack Biyombo,C,29,PHO,9,0.0,9.6,1.2,1.9,0.647,0.0,0.0,,1.2,1.9,0.647,0.647,0.3,0.7,0.5,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,8.0,2.3,-2.3,0.5,14.8,0.0,0.0,0.353,86.0,-2.8,11.4,0.1,11.4,0.6,23.4,13.1,0.636,13.7,0.0,0.1,0.054
61,2022,Khem Birch,C,29,TOR,6,4.0,10.5,1.3,2.7,0.5,0.3,0.7,0.5,1.0,2.0,0.5,0.563,0.0,0.0,,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0,7.2,1.7,-5.2,-0.1,10.8,0.0,0.25,0.0,63.0,-5.1,7.1,0.0,8.1,0.8,15.8,8.8,0.563,14.0,0.0,0.0,0.003
62,2022,Patrick Beverley,PG,33,MIN,6,6.0,32.3,3.5,8.2,0.429,1.5,4.3,0.346,2.0,3.8,0.522,0.52,2.5,3.7,0.682,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,23.0,3.1,1.0,1.5,8.2,0.2,0.531,0.449,194.0,-0.5,2.4,0.2,11.5,1.7,17.0,5.4,0.562,15.6,0.1,0.3,0.076
63,2022,Davis Bertans,PF,29,DAL,18,0.0,10.7,1.2,3.1,0.4,1.1,2.8,0.373,0.2,0.2,0.75,0.573,0.6,0.7,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,4.9,0.9,0.9,0.9,13.7,0.2,0.927,0.218,192.0,0.0,2.4,0.3,13.0,2.2,4.7,8.0,0.606,15.6,0.1,0.4,0.112
64,2022,Malik Beasley,SG,25,MIN,6,0.0,19.8,3.2,7.3,0.432,1.3,4.2,0.32,1.8,3.2,0.579,0.523,0.8,1.0,0.833,0.3,3.0,3.3,0.7,0.3,0.2,1.2,1.5,8.5,5.6,0.7,-2.6,-0.9,16.0,0.1,0.568,0.136,119.0,-1.7,2.0,-0.1,9.0,0.8,13.0,9.3,0.547,19.3,0.0,0.0,-0.001
